时间,pitch,roll,yaw,gyroX_bias,gyroY_bias,gyroZ_bias,
 17:48:57.538,-1.83444,-1.14699,0.0183625,0,0,0
 17:48:57.539,-1.83281,-1.14699,0.0182674,0,0,0
 17:48:57.542,-1.83227,-1.1477,0.0181623,0,0,0
 17:48:57.543,-1.83172,-1.14709,0.0180204,0,0,0
 17:48:57.543,-1.83057,-1.14652,0.017904,0,0,0
 17:48:57.543,-1.82944,-1.14596,0.017841,0,0,0
 17:48:57.545,-1.82835,-1.14591,0.0178636,0,0,0
 17:48:57.546,-1.82778,-1.14577,0.0177925,0,0,0
 17:48:57.546,-1.82673,-1.14529,0.0176382,0,0,0
 17:48:57.547,-1.82563,-1.14534,0.0175538,0,0,0
 17:48:57.547,-1.82453,-1.14535,0.0175357,0,0,0
 17:48:57.548,-1.8229,-1.14535,0.0174127,0,0,0
 17:48:57.548,-1.82186,-1.14536,0.01725,0,0,0
 17:48:57.549,-1.82082,-1.14476,0.017148,0,0,0
 17:48:57.549,-1.82034,-1.14365,0.01708,0,0,0
 17:48:57.550,-1.81935,-1.14316,0.0169922,0,0,0
 17:48:57.550,-1.81843,-1.14325,0.0168981,0,0,0
 17:48:57.551,-1.81746,-1.14391,0.0167415,0,0,0
 17:48:57.551,-1.8159,-1.14454,0.0165309,0,0,0
 17:48:57.552,-1.81439,-1.14571,0.016392,0,0,0
 17:48:57.552,-1.81345,-1.14626,0.0163402,0,0,0
 17:48:57.553,-1.81246,-1.14735,0.0162785,0,0,0
 17:48:57.553,-1.8121,-1.14841,0.0161115,0,0,0
 17:48:57.554,-1.81179,-1.14835,0.0159355,0,0,0
 17:48:57.554,-1.81146,-1.14713,0.0157628,0,0,0
 17:48:57.555,-1.81059,-1.14591,0.0155911,0,0,0
 17:48:57.555,-1.81026,-1.14472,0.0154718,0,0,0
 17:48:57.556,-1.80988,-1.14415,0.0153963,0,0,0
 17:48:57.556,-1.80893,-1.14415,0.0152988,0,0,0
 17:48:57.557,-1.80802,-1.14413,0.0151758,0,0,0
 17:48:57.557,-1.80655,-1.1447,0.0150181,0,0,0
 17:48:57.558,-1.80512,-1.14589,0.0148522,0,0,0
 17:48:57.558,-1.80432,-1.1465,0.0146688,0,0,0
 17:48:57.559,-1.8041,-1.14649,0.0145731,0,0,0
 17:48:57.559,-1.80386,-1.14644,0.0145695,0,0,0
 17:48:57.560,-1.80302,-1.14581,0.0145344,0,0,0
 17:48:57.560,-1.80224,-1.14582,0.0143729,0,0,0
 17:48:57.561,-1.80148,-1.14527,0.0142595,0,0,0
 17:48:57.561,-1.8007,-1.14529,0.0142301,0,0,0
 17:48:57.562,-1.7999,-1.1453,0.0141864,0,0,0
 17:48:57.562,-1.79906,-1.14584,0.0140938,0,0,0
 17:48:57.563,-1.79828,-1.14636,0.0140025,0,0,0
 17:48:57.563,-1.79755,-1.14694,0.013846,0,0,0
 17:48:57.564,-1.79681,-1.14759,0.0136883,0,0,0
 17:48:57.564,-1.79598,-1.14825,0.0135939,0,0,0
 17:48:57.565,-1.79518,-1.14829,0.0135083,0,0,0
 17:48:57.565,-1.79443,-1.14764,0.0133536,0,0,0
 17:48:57.566,-1.79372,-1.14697,0.0132924,0,0,0
 17:48:57.566,-1.79298,-1.14578,0.0132523,0,0,0
 17:48:57.567,-1.79161,-1.1446,0.0131181,0,0,0
 17:48:57.567,-1.7908,-1.14346,0.0128647,0,0,0
 17:48:57.568,-1.79005,-1.14233,0.0126659,0,0,0
 17:48:57.568,-1.78995,-1.14173,0.0126857,0,0,0
 17:48:57.569,-1.7899,-1.14181,0.0127377,0,0,0
 17:48:57.569,-1.78929,-1.14193,0.0125911,0,0,0
 17:48:57.570,-1.78921,-1.14201,0.0123905,0,0,0
 17:48:57.570,-1.78848,-1.14142,0.0122502,0,0,0
 17:48:57.571,-1.78837,-1.14087,0.0122299,0,0,0
 17:48:57.571,-1.78767,-1.14041,0.0121691,0,0,0
 17:48:57.572,-1.78693,-1.13997,0.0120411,0,0,0
 17:48:57.572,-1.78685,-1.13947,0.0118888,0,0,0
 17:48:57.573,-1.78684,-1.13955,0.0118626,0,0,0
 17:48:57.573,-1.78687,-1.13964,0.0118502,0,0,0
 17:48:57.574,-1.78622,-1.14026,0.011721,0,0,0
 17:48:57.575,-1.78559,-1.14093,0.0116183,0,0,0
 17:48:57.575,-1.78438,-1.1422,0.0116386,0,0,0
 17:48:57.575,-1.78315,-1.14344,0.0116577,0,0,0
 17:48:57.576,-1.78253,-1.1434,0.0115226,0,0,0
 17:48:57.576,-1.78191,-1.14388,0.0114187,0,0,0
 17:48:57.577,-1.78128,-1.14381,0.0113493,0,0,0
 17:48:57.577,-1.78123,-1.14321,0.0112349,0,0,0
 17:48:57.578,-1.7812,-1.14267,0.0110951,0,0,0
 17:48:57.578,-1.7812,-1.14213,0.010943,0,0,0
 17:48:57.579,-1.78061,-1.14155,0.0108303,0,0,0
 17:48:57.579,-1.77942,-1.14094,0.0107037,0,0,0
 17:48:57.580,-1.77881,-1.1398,0.0105593,0,0,0
 17:48:57.581,-1.77768,-1.13925,0.0104604,0,0,0
 17:48:57.581,-1.77714,-1.13871,0.0103754,0,0,0
 17:48:57.581,-1.77543,-1.13874,0.0103209,0,0,0
 17:48:57.582,-1.77429,-1.13875,0.0102265,0,0,0
 17:48:57.582,-1.77317,-1.13822,0.0100879,0,0,0
 17:48:57.583,-1.77268,-1.1383,0.010034,0,0,0
 17:48:57.583,-1.77216,-1.1378,0.0100148,0,0,0
